,p_val,avg_logFC,pct.1,pct.2,p_val_adj
FBLN7,0.348180477258465,-0.0124257479084549,0.093,0.111,1
OXCT1,0.348261186993036,0.0290183443232397,0.173,0.153,1
AP4E1,0.34829598528218,0.0142820710064811,0.1,0.084,1
RCBTB2,0.348630416501462,0.0137198475200639,0.188,0.165,1
NTF3,0.348791592728033,-0.0128711484332049,0.012,0.018,1
TMEM198,0.349077424261667,0.00989925688864789,0.03,0.021,1
NRBP2,0.34911115689155,0.0142910755943187,0.101,0.086,1
NACC1,0.349150153247346,0.00673826081580811,0.073,0.059,1
RADIL,0.34922559809273,0.00668888200128464,0.042,0.031,1
RFC1,0.349242459218164,0.0237639756567524,0.649,0.637,1
ZNF570,0.349449941956745,0.0184374229981249,0.128,0.111,1
ELMOD1,0.349563630936843,0.00988890111608141,0.03,0.021,1
CDH8,0.349642640944102,0.0235525236648952,0.058,0.046,1
SORCS1,0.349747724921573,0.0129835723156611,0.058,0.046,1
FBXO25,0.349790907811708,0.015019083715451,0.208,0.186,1
PPP1R3C,0.349847409439075,-0.00461835330180106,0.018,0.026,1
CDK5,0.349881196402706,0.0128065362529527,0.1,0.084,1
PLEKHG4,0.349890435981683,-0.0108848645736133,0.028,0.038,1
MARCHF1,0.350013961595816,-0.0111960840377157,0.012,0.018,1
AARSD1,0.350047349120275,0.00828505153410682,0.075,0.061,1
RTCA,0.3500655304214,0.0270021754870447,0.216,0.196,1
GEMIN5,0.350082464987708,0.0172269889097681,0.11,0.094,1
JAG1,0.350128045777836,0.0432320816113411,0.324,0.299,1
NDUFA4L2,0.350155693276792,-0.132697698986705,0.176,0.195,1
FLCN,0.350159792217436,0.00689519724505266,0.168,0.147,1
